,publisher,review_type,review_date,title,content_rating,genre,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,review_score,year,country,imdb_plot,imdb_score,imdb_count,review_negative,review_neutral,review_positive,review_compound,consensus_negative,consensus_neutral,consensus_positive,consensus_compound,score
1059,7M Pictures,Rotten,2006-03-03,Ultraviolet,PG-13,Action & Adventure,2006-03-03,2012-04-16,88.0,Sony Pictures,Rotten,8.0,83.0,Rotten,30.0,279994.0,30.0,2006,USA,"A park ranger and his girlfriend run into a young man in the middle of Death Valley desert. He shoots the ranger, kidnaps the girl and starts playing psycho-sexual games with her. The wounded ranger gets a shotgun and goes after them.",50.0,137.0,0.0,0.712,0.288,0.8271,0.0,0.887,0.113,0.1027,28.33
1179,Film Threat,Fresh,2004-11-06,Eternal,R,Horror,2004-08-26,2016-09-23,108.0,Regent Releasing,Rotten,21.0,34.0,Rotten,39.0,1295.0,70.0,2004,Canada,"Detective Raymond Pope is a detective of questionable morals, searching for his missing wife. His investigation leads him to the wealthy estate of the enigmatic Elizabeth Kane and her young maid Irina.",48.0,1272.0,0.0,1.0,0.0,0.0,0.214,0.611,0.176,-0.128,37.3
1200,eFilmCritic.com,Fresh,2005-02-09,The Matador,R,Action & Adventure,2006-01-27,2016-11-18,97.0,The Weinstein Company,Fresh,75.0,156.0,Fresh,65.0,73701.0,75.0,2006,Ireland,A globetrotting hitman and a crestfallen businessman meet in a hotel bar in Mexico City in an encounter that draws them together in a way neither expected.,67.0,43501.0,0.0,0.642,0.358,0.8622,0.074,0.629,0.297,0.7783,69.19
1319,JWR,Rotten,2005-04-07,Saint Ralph,PG-13,Comedy,2005-08-05,2017-05-11,98.0,IDP,Fresh,64.0,69.0,Fresh,85.0,6203.0,50.0,2005,Canada,"Saint Ralph is the unlikely story of Ralph Walker, a ninth grader who outran everyone's expectations except his own in his bold quest of trying to win the 1954 Boston Marathon.",73.0,5826.0,0.15,0.75,0.1,-0.3415,0.0,0.733,0.267,0.6249,71.49
1369,Slant Magazine,Rotten,2005-07-17,The Baxter,PG-13,Comedy,2005-08-26,2018-07-02,91.0,IFC Films,Rotten,32.0,75.0,Fresh,75.0,7436.0,62.5,2005,USA,"In the style of a Howard Hawks comedy, Baxter follows the twists and turns of a young man's life during the two weeks before his wedding.",65.0,4569.0,0.0,0.867,0.133,0.3182,0.17,0.642,0.188,0.0952,56.31
1429,FilmFocus,Fresh,2005-08-18,Oliver Twist,PG-13,Drama,2005-09-30,2012-04-16,130.0,Sony Pictures,Fresh,61.0,143.0,Fresh,63.0,23294.0,86.0,2005,USA,"An orphan named Oliver Twist meets a pickpocket on the streets of London. From there, he joins a household of boys who are trained to steal for their master.",67.0,706.0,0.0,0.829,0.171,0.5106,0.105,0.895,0.0,-0.3804,66.35
1939,Old School Reviews,Rotten,2004-04-01,The Alamo,NR,Action & Adventure,1960-10-24,2016-11-30,192.0,Batjac Productions,Rotten,52.0,21.0,Fresh,63.0,7337.0,33.0,1960,USA,"In 1836, a small band of soldiers sacrifice their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.",69.0,14123.0,0.078,0.654,0.268,0.7003,0.0,0.868,0.132,0.5267,48.06
1951,"Commercial Appeal (Memphis, TN)",Rotten,2005-09-16,G,R,Drama,2005-09-16,2018-04-10,96.0,Slow Hand Cinema,Rotten,24.0,29.0,Fresh,60.0,1143.0,50.0,2005,Sweden,"Three friends, Robban, Alexander and Kim has just left the compulsory school, and now they consider themselves grown-up and mature, being 16 years old. During the summer holiday they also ...",53.0,1248.0,0.157,0.843,0.0,-0.5362,0.177,0.665,0.158,0.0516,46.08
1989,Empire Magazine,Fresh,2001-05-12,Alfie,PG,Classics,1966-08-24,2013-08-01,114.0,Paramount Pictures,Fresh,96.0,27.0,Fresh,76.0,14669.0,60.0,1966,UK,An unrepentant ladies' man gradually begins to understand the consequences of his lifestyle.,70.0,13256.0,0.092,0.665,0.242,0.6199,0.0,0.736,0.264,0.7783,58.64
2013,AboutFilm.com,Fresh,2000-01-01,Aliens,R,Action & Adventure,1986-07-18,2015-11-25,137.0,20th Century Fox,Fresh,97.0,76.0,Fresh,94.0,429674.0,100.0,1986,USA,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",83.0,639500.0,0.0,1.0,0.0,0.0,0.084,0.693,0.223,0.5859,91.21
2061,AMC Filmsite,Fresh,2000-01-01,All About Eve,PG,Classics,1950-01-01,2015-11-25,138.0,20th Century Fox,Fresh,99.0,77.0,Fresh,94.0,45248.0,100.0,1950,USA,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,82.0,117634.0,0.129,0.871,0.0,-0.6486,0.129,0.417,0.455,0.8225,92.63
2102,Slant Magazine,Rotten,2006-03-09,When Do We Eat?,R,Comedy,2006-04-07,2017-05-22,87.0,ThinkFilm,Rotten,42.0,38.0,Fresh,68.0,1121.0,25.0,2006,USA,A family's Passover gets screwy after the patriarch unknowingly ingests a hit of Ecstasy.,59.0,1392.0,0.0,0.732,0.268,0.8316,0.0,0.785,0.215,0.6369,55.34
2131,Murphy's Movie Reviews,Fresh,2006-06-12,The Mostly Unfabulous Social Life of Ethan Green,R,Comedy,2006-06-16,2017-02-02,88.0,Regent Releasing,Rotten,30.0,27.0,Rotten,58.0,2394.0,83.0,2006,USA,A young gay man tries to balance his career as a personal assistant while searching for love.,62.0,1952.0,0.0,0.536,0.464,0.7783,0.182,0.747,0.071,-0.4777,48.87
2153,"Commercial Appeal (Memphis, TN)",Rotten,2006-01-20,Dirty,R,Drama,2006-02-24,2012-04-16,97.0,SNP Inc.,Rotten,21.0,28.0,Rotten,42.0,7326.0,50.0,2006,Canada,"Angie is a middle-aged drug dealer, who fulfills the masochistic fantasies of young student David. David shares a residence with lonely log company worker Tony. Other characters - Angie's ...",57.0,129.0,0.059,0.777,0.164,0.5797,0.309,0.691,0.0,-0.7003,40.16
2191,Bangor Daily News (Maine),Rotten,2006-03-24,Stay Alive,PG-13,Horror,2006-03-24,2016-08-09,85.0,Buena Vista,Rotten,10.0,59.0,Rotten,55.0,113424.0,16.0,2006,USA,"For a group of teens, the answer to the mysterious death of their old friend lies within the world of an online video game based on the true story of an ancient noblewoman known as the Blood Countess.",51.0,29958.0,0.0,1.0,0.0,0.0,0.45,0.437,0.114,-0.7717,36.39
2237,eFilmCritic.com,Fresh,2002-07-26,All of Me,PG,Comedy,1984-09-21,2016-10-30,93.0,HBO Video,Fresh,85.0,41.0,Fresh,67.0,14346.0,90.0,1984,USA,"A dying millionaire has her soul transferred into a younger, willing woman. However, something goes wrong, and she finds herself in her lawyer's body - together with the lawyer.",67.0,16393.0,0.0,0.461,0.539,0.8934,0.096,0.747,0.157,0.1779,73.82
2253,TV Guide,Fresh,2000-01-01,All the King's Men,PG,Classics,1949-11-08,2013-05-01,109.0,Sony Pictures Home Entertainment,Fresh,95.0,42.0,Fresh,78.0,4866.0,100.0,1949,USA,"The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal.",75.0,12893.0,0.0,0.917,0.083,0.2263,0.0,0.924,0.076,0.3182,81.53
2295,Toronto Star,Fresh,2006-05-06,The Motel,NR,Comedy,2005-06-28,2017-03-17,76.0,Palm Pictures,Fresh,88.0,32.0,Fresh,64.0,4038.0,75.0,2005,USA,"Thirteen-year-old Ernest Chin lives and works at a sleazy hourly-rate motel on a strip of desolate suburban bi-way. Misunderstood by his family and blindly careening into puberty, Ernest ...",67.0,1278.0,0.0,0.408,0.592,0.4404,0.0,0.774,0.226,0.7717,72.54
2320,Reel Film Reviews,Fresh,2006-09-11,Requiem,NR,Art House & International,2006-10-20,2017-03-23,92.0,IFC First Take,Fresh,86.0,36.0,Fresh,66.0,4728.0,62.5,2006,Hungary,Mail,70.0,127.0,0.0,0.734,0.266,0.2911,0.0,0.902,0.098,0.0772,73.36
2420,Boxoffice Magazine,Rotten,2006-11-29,Amazing Grace,PG,Drama,2007-02-23,2015-11-25,116.0,Samuel Goldwyn Films LLC,Fresh,67.0,126.0,Fresh,85.0,54320.0,40.0,2007,USA,An elderly woman in a Baltimore neighborhood finds out that a somewhat slow-witted neighbor is being put up for local office by some shady politicians who have no interest in their ...,60.0,195.0,0.0,0.421,0.579,0.6705,0.0,0.556,0.444,0.8625,77.57
2614,Cinema Signals,Fresh,2006-10-06,Cocaine Cowboys,R,Documentary,2006-10-27,2016-08-10,116.0,Magnolia Pictures,Fresh,69.0,51.0,Fresh,79.0,77110.0,100.0,2006,USA,"Dustin (Tom Sullivan) is the leader of a rock band on the brink of super-stardom. Until now they have juggled their music career with cocaine smuggling. The musicians, and their manager Raf...",29.0,191.0,0.0,1.0,0.0,0.0,0.055,0.824,0.122,0.4019,60.17
2651,Cinema Signals,Rotten,2007-01-13,The Situation,R,Drama,2006-10-18,2007-07-31,106.0,Shadow Distribution,Rotten,35.0,48.0,Rotten,58.0,2381.0,50.0,2006,USA,"The story of an American journalist, a CIA operative, and an Iraqi photographer against the backdrop of the bloody war in Iraq.",63.0,802.0,0.07,0.816,0.114,0.2263,0.144,0.39,0.466,0.8047,53.11
2678,ComingSoon.net,Fresh,2007-01-25,Slipstream,R,Art House & International,2007-10-26,2012-04-16,97.0,Strand Releasing,Rotten,25.0,40.0,Rotten,29.0,3523.0,80.0,2007,UK,"In the near future, where Earth has been devastated by natural disasters, and giant winds rule the planet, bounty hunter Matt kidnaps a murderer out of the hands of two police officers, ...",48.0,2379.0,0.0,0.503,0.497,0.836,0.464,0.536,0.0,-0.6369,37.16
2747,Cinematical,Fresh,2007-01-23,Delirious,NR,Comedy,2007-08-15,2020-10-13,107.0,Peace Arch Films,Fresh,83.0,63.0,Rotten,57.0,8464.0,80.0,2007,USA,A soap opera writer gets hit on the head and wakes up as a character in his own show.,59.0,7605.0,0.0,0.806,0.194,0.6486,0.0,0.563,0.437,0.9081,68.0
2833,Film Threat,Fresh,2007-01-30,Interview,R,Art House & International,2007-07-13,2012-04-16,84.0,Sony Classics,Rotten,58.0,125.0,Rotten,55.0,25860.0,60.0,2007,India,Ranjit cannot get a middle-class job just because he cannot get hold of a suit.,75.0,143.0,0.0,0.636,0.364,0.7906,0.0,0.828,0.172,0.4404,61.25
3197,ComingSoon.net,Fresh,2007-01-25,The Ten,R,Comedy,2007-01-18,2016-02-26,99.0,ThinkFilm,Rotten,35.0,82.0,Rotten,40.0,77951.0,70.0,2007,USA,"Ten stories, each inspired by one of the ten commandments.",50.0,16209.0,0.0,0.769,0.231,0.6908,0.0,0.902,0.098,0.3818,44.14
3256,Entertainment Weekly,Rotten,2008-06-11,The Happening,R,Drama,2008-06-11,2015-11-25,89.0,20th Century Fox,Rotten,17.0,183.0,Rotten,24.0,370222.0,50.0,2008,USA,"A few hippies ""go with the flow"" and end up kidnapping a retired Mafia kingpin.",53.0,666.0,0.234,0.599,0.166,-0.3612,0.185,0.716,0.099,-0.3506,34.07
3524,Movies for the Masses,Fresh,2007-04-18,Molière,PG-13,Comedy,2007-07-27,2014-03-09,120.0,Sony Pictures Classics,Fresh,69.0,89.0,Fresh,79.0,10937.0,50.0,2007,France,"Who was Moliere? He is known everywhere as one of the world's greatest playwrights. But who was he? Born Jean-Baptiste Poquelin in 1622, the son of a prosperous tapestry maker. His mother ...",76.0,766.0,0.0,1.0,0.0,0.0,0.0,0.476,0.524,0.8271,71.78
3654,The Age (Australia),Fresh,2008-09-26,Beverly Hills Chihuahua,PG,Comedy,2008-09-30,2015-12-13,91.0,Walt Disney Pictures,Rotten,40.0,99.0,Rotten,52.0,186570.0,60.0,2008,USA,"While on vacation in Mexico, Chloe, a ritzy Beverly Hills chihuahua, finds herself lost and in need of assistance in order to get back home.",38.0,22408.0,0.0,0.805,0.195,0.4404,0.136,0.711,0.153,0.0823,45.04
3733,Future Movies UK,Fresh,2008-02-10,Fireflies in the Garden,R,Drama,2011-10-14,2014-01-09,98.0,Senator Entertainment,Rotten,22.0,54.0,Rotten,45.0,45155.0,60.0,2011,USA,The Taylor family is devastated by an accident that takes place on the day their matriarch is due to graduate from college -- decades after leaving to raise her children.,65.0,12322.0,0.17,0.625,0.205,-0.1002,0.144,0.856,0.0,-0.4019,43.6
3772,Dread Central,Rotten,2008-01-31,The Eye,PG-13,Drama,2008-02-01,2016-11-09,97.0,Lionsgate Films,Rotten,21.0,80.0,Rotten,43.0,303458.0,40.0,2008,USA,A woman receives an eye transplant that allows her to see into the supernatural world.,54.0,50924.0,0.217,0.746,0.037,-0.743,0.289,0.711,0.0,-0.7269,40.58
3836,CinemaBlend,Rotten,2008-09-19,My Best Friend's Girl,R,Comedy,2008-09-18,2016-09-09,103.0,Lionsgate,Rotten,14.0,59.0,Rotten,46.0,86594.0,40.0,2008,USA,Tank faces the ultimate test of friendship when his best friend hires him to take his ex-girlfriend out on a lousy date in order to make her realize how great her former boyfriend is.,59.0,42133.0,0.171,0.728,0.101,-0.3612,0.124,0.58,0.296,0.6293,38.41
3880,Bloody Disgusting,Fresh,2008-05-02,The Midnight Meat Train,R,Drama,2008-08-14,2016-10-18,100.0,Lionsgate Films,Fresh,73.0,33.0,Rotten,50.0,143577.0,70.0,2008,USA,"A photographer's obsessive pursuit of dark subject matter leads him into the path of a serial killer who stalks late night commuters, ultimately butchering them in the most gruesome ways.",60.0,58939.0,0.054,0.893,0.054,0.0,0.093,0.584,0.323,0.7096,60.17
3903,Cinematical,Rotten,2008-09-11,The Lucky Ones,R,Comedy,2008-09-26,2016-10-06,115.0,Lionsgate,Rotten,37.0,75.0,Rotten,54.0,11792.0,42.0,2008,USA,Three different soldiers - a woman and two men - return from war and facing the peaceful life's problems of each other.,69.0,13382.0,0.168,0.588,0.244,0.2263,0.0,0.794,0.206,0.4854,53.49
3961,Compuserve,Fresh,2007-08-17,Run Fatboy Run,PG-13,Comedy,2007-09-07,2010-07-02,100.0,Picturehouse,Rotten,47.0,154.0,Fresh,64.0,102884.0,75.0,2007,UK,"Five years after jilting his pregnant fiancée on their wedding day, out-of-shape Dennis decides to run a marathon to win her back.",66.0,65041.0,0.0,0.442,0.558,0.7227,0.0,0.861,0.139,0.2732,58.55
4075,EricDSnider.com,Rotten,2009-09-10,Whiteout,R,Action & Adventure,2009-09-11,2011-06-17,101.0,Warner Bros. Pictures,Rotten,7.0,116.0,Rotten,21.0,538861.0,50.0,2009,USA,"U.S. Marshal Carrie Stetko tracks a killer in Antarctica, as the sun is about to set for six months.",55.0,36885.0,0.212,0.788,0.0,-0.5423,0.044,0.785,0.171,0.5719,30.04
4168,Teletext,Fresh,2008-08-14,Wild Child,PG-13,Comedy,2008-08-14,2014-02-12,98.0,Universal Pictures,Rotten,41.0,27.0,Fresh,61.0,17496.0,60.0,2008,USA,A rebellious Malibu princess is shipped off to a strict English boarding school by her father.,61.0,48071.0,0.107,0.85,0.043,-0.5165,0.365,0.495,0.139,-0.8074,52.3
4185,Film Blather,Rotten,2007-09-02,Rails & Ties,PG-13,Drama,2007-10-26,2009-12-31,101.0,Warner Independent,Rotten,34.0,47.0,Rotten,58.0,10100.0,50.0,2007,USA,A deadly collision between a train and car lead to an unlikely bond between the train engineer and a young boy who escapes the carnage.,67.0,3958.0,0.049,0.951,0.0,-0.0772,0.172,0.828,0.0,-0.4023,52.35
4216,Slant Magazine,Fresh,2007-10-07,Canvas,PG-13,Drama,2007-10-12,2016-01-26,101.0,Screen Media Films,Fresh,78.0,27.0,Fresh,62.0,571.0,62.5,2007,Canada,"In order to save his brother from being killed by a group of murderous art thieves, a New York City artist agrees to help in an art heist.",44.0,106.0,0.184,0.601,0.216,0.2263,0.162,0.479,0.359,0.5106,65.42
4248,ComingSoon.net,Fresh,2008-03-06,Flawless,PG-13,Drama,2008-03-28,2017-02-17,106.0,Magnolia Pictures,Rotten,55.0,95.0,Rotten,54.0,12577.0,80.0,2008,USA,"An ultraconservative security guard suffers a debilitating stroke and is assigned to a rehabilitative program that includes singing lessons, with the drag queen next door.",65.0,17481.0,0.0,0.638,0.362,0.8807,0.0,0.611,0.389,0.7906,57.76
4384,ColeSmithey.com,Rotten,2008-05-04,What Happens in Vegas,PG-13,Comedy,2008-04-22,2012-09-18,99.0,20th Century Fox,Rotten,26.0,133.0,Fresh,65.0,501711.0,42.0,2008,USA,"A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",61.0,163171.0,0.0,0.809,0.191,0.6369,0.0,0.625,0.375,0.9003,48.98
4487,EmanuelLevy.Com,Fresh,2008-09-07,Appaloosa,R,Action & Adventure,2008-10-03,2010-11-02,116.0,Warner Bros. Pictures,Fresh,76.0,164.0,Rotten,55.0,55694.0,75.0,2008,USA,Two friends hired to police a small town that is suffering under the rule of a rancher find their job complicated by the arrival of a young widow.,67.0,57677.0,0.0,0.852,0.148,0.5789,0.0,0.634,0.366,0.8689,66.84
4612,Boxoffice Magazine,Rotten,2008-09-12,Good,R,Drama,2008-09-08,2016-08-10,96.0,ThinkFilm,Rotten,32.0,71.0,Rotten,32.0,41569.0,50.0,2008,UK,"John Halder, a German literature professor in the 1930s, is initially reluctant to accept the ideas of the Nazi Party. He is pulled in different emotional directions by his wife, mother, mistress and Jewish friend.",62.0,6758.0,0.0,0.712,0.288,0.8979,0.0,0.75,0.25,0.7184,43.75
4661,Reel Film Reviews,Fresh,2007-09-20,The Visitor,PG-13,Drama,2008-04-25,2017-01-13,103.0,Overture Films,Fresh,89.0,120.0,Fresh,84.0,127079.0,75.0,2008,USA,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,76.0,41195.0,0.0,0.726,0.274,0.5994,0.0,0.811,0.189,0.5423,82.13
4750,About.com,Rotten,2007-09-23,Married Life,PG-13,Comedy,2008-03-07,2014-02-12,90.0,Sony Classics,Rotten,54.0,118.0,Rotten,36.0,5083.0,20.0,2008,USA,A 1940s-set drama where an adulterous man plots his wife's death instead of putting her through the humiliation of a divorce.,62.0,8987.0,0.116,0.733,0.151,0.2006,0.177,0.723,0.1,-0.4215,53.86
4830,Slant Magazine,Rotten,2008-01-13,Untraceable,R,Drama,2008-01-25,2012-04-16,101.0,Sony/Screen Gems,Rotten,16.0,148.0,Rotten,52.0,225138.0,25.0,2008,USA,"FBI agent Jennifer Marsh is tasked with hunting down a seemingly untraceable serial killer who posts live videos of his victims on the Internet. As time runs out, the cat and mouse chase becomes more personal.",62.0,46812.0,0.294,0.569,0.137,-0.6597,0.267,0.655,0.078,-0.6172,43.49
4940,Cinematical,Rotten,2009-02-02,The Informers,R,Drama,2009-04-24,2012-04-16,98.0,Senator International,Rotten,12.0,105.0,Rotten,18.0,18505.0,30.0,2009,UK,Scotland Yard Chief Inspector Johnnoe is investigating a string of bank robberies but the robbers are determined to compromise Johnnoe and the investigation.,69.0,270.0,0.134,0.648,0.219,0.2732,0.377,0.623,0.0,-0.9022,31.49
5096,Entertainment Weekly,Fresh,1990-07-20,The Freshman,PG,Comedy,1990-07-20,2013-05-01,102.0,Sony Pictures Home Entertainment,Fresh,94.0,49.0,Fresh,61.0,11850.0,67.0,1990,USA,A nerdy college student will do anything to become popular on campus.,75.0,4882.0,0.0,0.722,0.278,0.3197,0.0,0.625,0.375,0.9186,75.99
5142,Empire Magazine,Fresh,2008-01-03,Kenny,PG-13,Comedy,2008-03-21,2020-04-17,100.0,Xenon Pictures,Fresh,100.0,25.0,Fresh,86.0,8978.0,80.0,2008,Japan,"The disruptions caused in the life of 13 year old Kenny born with underdeveloped legs, removed to replace other missing bones at 6 months old when a French film company comes to do a film about his life and family.",62.0,202.0,0.203,0.316,0.481,0.6597,0.134,0.645,0.221,0.2263,82.46
5170,EricDSnider.com,Fresh,2008-06-17,The Rocker,PG-13,Comedy,2008-06-12,2015-11-25,102.0,Fox Atomic,Rotten,41.0,123.0,Rotten,46.0,44190.0,67.0,2008,USA,"In the 1980s, a drummer is abandoned by his band just before they become rock superstars. Twenty years later, the drummer sees his second chance at stardom arise when he is asked to perform with his teenage nephew's high school rock band.",62.0,36404.0,0.0,0.644,0.356,0.8078,0.0,0.837,0.163,0.5106,50.66
5268,EURWeb,Fresh,2007-12-08,The Perfect Holiday,PG-13,Kids & Family,2007-12-12,2012-04-16,96.0,Yari Film Group,Rotten,19.0,59.0,Rotten,52.0,159645.0,50.0,2007,USA,A young girl turns to a department store Santa in the hopes that he will help find a new husband for her divorced mother.,45.0,2821.0,0.0,0.824,0.176,0.4588,0.0,0.498,0.502,0.8779,39.29
5309,Compuserve,Rotten,2009-06-01,Land of the Lost,PG-13,Action & Adventure,2009-06-05,2015-12-10,102.0,Universal Pictures,Rotten,26.0,190.0,Rotten,32.0,542684.0,25.0,2009,USA,"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.",53.0,64796.0,0.06,0.596,0.344,0.7991,0.065,0.654,0.281,0.7645,38.08
5451,Dread Central,Fresh,2007-11-08,[Rec],R,Art House & International,2007-11-23,2012-04-16,78.0,Odeon Sky Filmworks,Fresh,89.0,37.0,Fresh,82.0,50437.0,80.0,2007,Spain,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,74.0,162297.0,0.25,0.654,0.096,-0.6124,0.106,0.805,0.089,-0.1531,80.52
5480,Compuserve,Fresh,2007-11-06,Look,R,Comedy,2007-12-14,2009-05-05,98.0,Liberated Artists,Fresh,60.0,35.0,Rotten,56.0,709.0,83.0,2007,USA,"The lies, betrayal, and desires of nine different groups of people are revealed as they live out their secret lives in the sight of the security cameras that capture our every movement.",66.0,1646.0,0.0,0.769,0.231,0.2732,0.0,0.645,0.355,0.8096,59.53
5502,IGN Movies AU,Fresh,2009-10-21,The Box,PG-13,Horror,2009-11-06,2011-08-01,113.0,Warner Bros. Pictures,Rotten,44.0,155.0,Rotten,24.0,359098.0,70.0,2009,USA,"When Frank comes out of prison, and meets Marie, it's a start of a new life, until she accidentally kills her abusive night club owner-ex. Frank helps burying him, when they discover a box, which turns their life upside down.",49.0,435.0,0.0,0.802,0.198,0.8248,0.0,0.8,0.2,0.5023,42.98
5847,Compuserve,Fresh,2007-12-01,Man in the Chair,PG-13,Comedy,2007-12-07,2016-09-27,109.0,Outsider Films,Rotten,50.0,36.0,Fresh,68.0,931.0,83.0,2007,USA,"Christopher Plummer plays Flash, a curmudgeon with a hankering for classic movies and booze. Cameron is a volatile teen who commits grand theft auto just because the car is an exact replica...",71.0,1611.0,0.0,0.815,0.185,0.7283,0.285,0.608,0.106,-0.5466,60.91
5870,Film Blather,Rotten,2008-03-09,21,PG-13,Drama,2008-03-28,2012-04-16,122.0,Sony/Columbia Pictures,Rotten,35.0,170.0,Fresh,66.0,367852.0,50.0,2008,USA,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",68.0,225698.0,0.159,0.751,0.09,-0.3182,0.094,0.765,0.141,0.2887,55.86
